date,price
2015-01,460.0
2015-02,471.7
2015-03,483.3
2015-04,495.0
2015-05,506.7
2015-06,518.3
2015-07,530.0
2015-08,541.7
2015-09,553.3
2015-10,565.0
2015-11,576.7
2015-12,588.3
2016-01,600.0
2016-02,608.3
2016-03,616.7
2016-04,625.0
2016-05,633.3
2016-06,641.7
2016-07,650.0
2016-08,658.3
2016-09,666.7
2016-10,675.0
2016-11,683.3
2016-12,691.7
2017-01,700.0
2017-02,720.8
2017-03,741.7
2017-04,762.5
2017-05,783.3
2017-06,804.2
2017-07,825.0
2017-08,845.8
2017-09,866.7
2017-10,887.5
2017-11,908.3
2017-12,929.2
2018-01,950.0
2018-02,958.3
2018-03,966.7
2018-04,975.0
2018-05,983.3
2018-06,991.7
2018-07,1000.0
2018-08,1008.3
2018-09,1016.7
2018-10,1025.0
2018-11,1033.3
2018-12,1041.7
2019-01,1050.0
2019-02,1058.3
2019-03,1066.7
2019-04,1075.0
2019-05,1083.3
2019-06,1091.7
2019-07,1100.0
2019-08,1108.3
2019-09,1116.7
2019-10,1125.0
2019-11,1133.3
2019-12,1141.7
2020-01,1150.0
2020-02,1145.8
2020-03,1141.7
2020-04,1137.5
2020-05,1133.3
2020-06,1129.2
2020-07,1125.0
2020-08,1120.8
2020-09,1116.7
2020-10,1112.5
2020-11,1108.3
2020-12,1104.2
2021-01,1100.0
2021-02,1104.2
2021-03,1108.3
2021-04,1112.5
2021-05,1116.7
2021-06,1120.8
2021-07,1125.0
2021-08,1129.2
2021-09,1133.3
2021-10,1137.5
2021-11,1141.7
2021-12,1145.8
2022-01,1150.0
2022-02,1154.2
2022-03,1158.3
2022-04,1162.5
2022-05,1166.7
2022-06,1170.8
2022-07,1175.0
2022-08,1179.2
2022-09,1183.3
2022-10,1187.5
2022-11,1191.7
2022-12,1195.8
2023-01,1200.0
2023-02,1208.3
2023-03,1216.7
2023-04,1225.0
2023-05,1233.3
2023-06,1241.7
2023-07,1250.0
2023-08,1258.3
2023-09,1266.7
2023-10,1275.0
2023-11,1283.3
2023-12,1291.7
2024-01,1300.0
2024-02,1304.2
2024-03,1308.3
2024-04,1312.5
2024-05,1316.7
2024-06,1320.8
2024-07,1325.0
2024-08,1329.2
2024-09,1333.3
2024-10,1337.5
2024-11,1341.7
2024-12,1345.8
2025-01,1350.0
2025-02,1350.0
2025-03,1350.0
2025-04,1350.0
2025-05,1350.0
2025-06,1350.0
2025-07,1350.0
2025-08,1350.0
2025-09,1350.0
2025-10,1350.0
2025-11,1350.0
2025-12,1350.0
2026-01,1350.0
2026-02,1350.0
2026-03,1350.0
2026-04,1350.0
2026-05,1350.0
2026-06,1350.0
